key,comparison,caregiver_lang,parent_lang,caregiver_value,parent_value
pages_0_elements_0_html,caregiver es-CO vs parent es,es-CO,es,"<b>¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"".<br><br>¡Muchas gracias!","¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación! Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a). Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general. Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación. Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"". ¡Muchas gracias!"
pages_0_elements_0_html,caregiver es-CO vs parent es-CO,es-CO,es-CO,"<b>¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"".<br><br>¡Muchas gracias!","¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"".<br><br>¡Muchas gracias!"
pages_0_elements_0_html,caregiver en-US vs parent default,en-US,default,"<b>Thank you to you and your child for participating in this research project!</b><br>

The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>

When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>
Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. 
<br><br>
We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>
When you are ready to begin, select the “start survey” button. <br><br>Thank you!","Thank you to you and your child for participating in this research project!<br><br> The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child.<br><br> Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. When you are ready to begin, select the “start survey” button.<br><br>Thank you!"
pages_0_elements_0_html,caregiver en-US vs parent en,en-US,en,"<b>Thank you to you and your child for participating in this research project!</b><br>

The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>

When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>
Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. 
<br><br>
We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>
When you are ready to begin, select the “start survey” button. <br><br>Thank you!","Thank you to you and your child for participating in this research project!</b><br>The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. <br><br>We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>Thank you"
pages_0_elements_0_html,caregiver en-US vs parent en-US,en-US,en-US,"<b>Thank you to you and your child for participating in this research project!</b><br>

The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>

When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>
Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. 
<br><br>
We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>
When you are ready to begin, select the “start survey” button. <br><br>Thank you!","Thank you to you and your child for participating in this research project!</b><br>

The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>

When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>
Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. 
<br><br>
We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>
When you are ready to begin, select the “start survey” button. <br><br>Thank you"
pages_13_elements_0_elements_0_html,caregiver es-CO vs parent es-CO,es-CO,es-CO,"Nos interesa saber con qué frecuencia y facilidad  su niño(a) despliega estos comportamientos cuando la ocasión lo requiere. Los niños que sobresalen en un comportamiento específico deberían recibir una calificación de 4 (la puntuación más alta). La mayoría de niños recibirán calificaciones de 3 ó 2. Quienes aún están en desarrollo y requieren mucha ayuda deberían recibir una calificación de 1.  
<br><br>
4 = Siempre por sí mismo (no necesita apoyo)<br>
3 = Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)<br> 
2 = A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)<br>
1 = No puede por sí mismo (necesita mucho apoyo)
",Nos interesa saber con qué frecuencia y facilidad  su niño(a) despliega estos comportamientos cuando la ocasión lo requiere. Los niños que sobresalen en un comportamiento específico deberían recibir una calificación de 4 (la puntuación más alta). La mayoría de niños recibirán calificaciones de 3 ó 2. Quienes aún están en desarrollo y requieren mucha ayuda deberían recibir una calificación de 1.  <br><br>4 = Siempre por sí mismo (no necesita apoyo)<br>3 = Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)<br> 2 = A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)<br>1 = No puede por sí mismo (necesita mucho apoyo)
pages_13_elements_0_elements_0_html,caregiver en-US vs parent default,en-US,default,"We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. 
<br><br>
4 = Always on their own (No support needed)<br>
3 = Mostly on their own (Brief reminders or support)<br>
2 = Sometimes on their own (Regular reminders or moderate support needed)<br>
1 = Not able on their own (Requires a lot of support)","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br<br><br><br>4 = Always on their own (No support needed)<br>3 = Mostly on their own (Brief reminders or support)<br>2 = Sometimes on their own (Regular reminders or moderate support needed)<br>1 = Not able on their own (Requires a lot of support)"
pages_13_elements_0_elements_0_html,caregiver en-US vs parent en-US,en-US,en-US,"We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. 
<br><br>
4 = Always on their own (No support needed)<br>
3 = Mostly on their own (Brief reminders or support)<br>
2 = Sometimes on their own (Regular reminders or moderate support needed)<br>
1 = Not able on their own (Requires a lot of support)","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>"
pages_15_elements_0_elements_0_choices_1_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,Más de la mitad de las veces,Más de la mitad del tiempo
pages_15_elements_0_elements_5_choices_2_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,La mitad de las veces,La mitad del tiempo
pages_15_elements_0_elements_5_choices_3_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,Menos de la mitad del tiempo,Menos de la mitad de las veces
pages_15_elements_0_elements_6_choices_2_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,La mitad de las veces,La mitad del tiempo
pages_15_elements_0_elements_6_choices_3_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,Menos de la mitad del tiempo,Menos de la mitad de las veces
pages_15_elements_0_elements_6_title,caregiver en-US vs parent en,en-US,en,How often is your child expected to care for younger family members when you and other adults are not available?,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?"
pages_15_elements_0_elements_6_title,caregiver en-US vs parent en-US,en-US,en-US,How often is your child expected to care for younger family members when you and other adults are not available?,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?"
pages_16_elements_2_elements_2_title,caregiver en-US vs parent en-US,en-US,en-US,Shouted or yelled at him/her.,"Shouted, yelled at or screamed at him/her."
pages_16_elements_2_title,caregiver en-US vs parent default,en-US,default,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the past month.
pages_16_elements_3_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","A veces los niños(as) se enfadan tanto con sus padres que dicen cosas como te odio o dicen palabrotas en medio de un rabieta. Si su niño(a) le dijera te odio o le ofendiera,... ¿usted...?"
pages_1_elements_0_html,caregiver es-CO vs parent es-CO,es-CO,es-CO,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).</b>","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a)."
pages_1_elements_0_html,caregiver en-US vs parent default,en-US,default,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
pages_1_elements_0_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,<block><b>En esta sección se indaga por información general y por la salud de su niño(a).</b>,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a)."
pages_1_elements_0_title,caregiver en-US vs parent default,en-US,default,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>",This section asks general information questions and questions about your child's health.
pages_1_elements_0_title,caregiver en-US vs parent en,en-US,en,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
pages_1_elements_0_title,caregiver en-US vs parent en-US,en-US,en-US,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
pages_4_elements_0_elements_0_elements_1_title,caregiver en-US vs parent default,en-US,default,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?,Does your child <b>CURRENTLY</b> have Behavioral or Conduct Problems?
pages_5_elements_2_choices_0_text,caregiver en-US vs parent en-US,en-US,en-US,Female,What is your child's current gender identification?
pages_5_elements_2_choices_1_text,caregiver en-US vs parent en-US,en-US,en-US,Male,What is your child's current gender identification?
pages_5_elements_2_choices_2_text,caregiver en-US vs parent en-US,en-US,en-US,Nonbinary,What is your child's current gender identification?
pages_6_elements_1_elements_0_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,¿Qué diría usted del crecimiento de su niño (en estatura):,¿Qué diría usted del crecimiento de su niña (en estatura):
pages_6_elements_1_elements_1_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,"¿Qué diría usted del crecimiento del vello corporal del niño (por ejemplo, en las axilas)? Diría que el vello corporal de su niño:","¿Qué diría usted del crecimiento del vello corporal de la niña (por ejemplo, en las axilas)? Diría que el vello corporal de su niña:"
pages_6_elements_1_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,"Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento."
pages_6_elements_2_elements_0_choices_3_text,caregiver en-US vs parent en-US,en-US,en-US,Seems completed (child is about as tall as he is going to get),Seems completed (child is about as tall as she is going to get)
pages_6_elements_2_elements_1_choices_3_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener)
pages_6_elements_2_elements_1_choices_3_text,caregiver en-US vs parent en-US,en-US,en-US,Seems completed (child has as much body hair as he is going to get),Seems completed (child has as much body hair as she is going to get)
