Identifier,Labels,Translation
general-intro1,general,Hi! We are excited to have you play some games with us today!
general-intro2,general,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy."
pick-buddy,general,Pick a buddy to play with!
general-intro3,general,"Now that you have your buddy, we want to explain how the games work."
general-intro4,general,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen."
general-intro5,general,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. "
task-finished,general,You've completed the game. Thank you!
continue-button-text,general,OK
close-button-text,general,Close
general-footer,general,Click the button below or press <b>ANY KEY</b> to continue
instructions,general,instructions
general-encourage,general,Keep Going!
feedbackCorrect,general,Great! That's right.
feedback-try-again,general,Please try again!
feedback-good-job,general,Good job!
feedback-nice-work,general,Nice work!
replay-button,general,Press the speaker button if you want the question repeated.
general-fullscreen,general,Switch to full screen mode
general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.
general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice."
intro-finished,general,You've finished the instructions. Thank you!
general-exit,general,Exit
task-completion,general,You've finished this game. Thank you!
matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!"
matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?
matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.
mental-rotation,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the outline. This shape does go with the outline.
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the outline?
mental-rotation-instruct-3D,mental-rotation,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.
mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.
mental-rotation-prompt1,mental-rotation,Choose the matching picture.
math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!"
number-comparison-prompt1,"math, number-comparison",Which number is larger?
number-comparison-prompt2,"math, number-comparison",Which is larger?
number-identification-prompt1,"math, number-identification",Choose the number you hear.
missing-number-prompt1,"math, missing-number",What number goes in the blank?
missing-number-prompt2,"math, missing-number",What number goes here?
addition-prompt1,"math, addition",Add the numbers and choose the correct answer.
addition-prompt2,"math, addition",Add the numbers.
subtraction-prompt1,"math, subtraction",Subtract the numbers and choose the correct answer.
subtraction-prompt2,"math, subtraction",Subtract the numbers.
multiplication-prompt1,"math, multiplication",Multiply the numbers and choose the correct answer.
multiplication-prompt2,"math, multiplication",Multiply the numbers.
number-line-instruct1,math,Here is a number line. You can move the red line forward and backward along the black line. Move the red line so it is in the right place to show where the number would fit. Make sure you look at the numbers at each end when deciding where to move the red line.
number-line-prompt1,"math, number-line-4AFC",Choose the number that is marked on the number line.
number-line-slider-prompt1,math,Move the red line to mark the number.
number-identification-1,"math, number-identification",Choose the number 1.
number-identification-2,"math, number-identification",Choose the 2.
number-identification-3,"math, number-identification",Choose the 9.
number-identification-4,"math, number-identification",Choose the 0.
number-identification-5,"math, number-identification",Choose the 12.
number-identification-6,"math, number-identification",Choose the 30.
number-identification-7,"math, number-identification",Choose the 22.
number-identification-8,"math, number-identification",Choose the 45.
number-identification-9,"math, number-identification",Choose the 39.
number-identification-10,"math, number-identification",Choose the 23.
number-identification-11,"math, number-identification",Choose the 48.
number-identification-12,"math, number-identification",Choose the 91.
number-identification-13,"math, number-identification",Choose the 33.
number-identification-14,"math, number-identification",Choose the 74.
number-identification-15,"math, number-identification",Choose the 87.
number-identification-16,"math, number-identification",Choose the 65.
number-identification-17,"math, number-identification",Choose the 108.
number-identification-18,"math, number-identification",Choose the 245.
number-identification-19,"math, number-identification",Choose the 587.
number-identification-20,"math, number-identification",Choose the 731.
number-identification-21,"math, number-identification",Choose the 989.
trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!"
trog-prompt1,trog,Choose the picture of the...
trog-prompt2,trog,Choose the picture of...
trog-prompt3,trog,Choose the picture that shows...
trog-item-1,trog,Choose the picture of the shoe.
trog-item-2,trog,Choose the picture of the bird.
trog-item-3,trog,Choose the picture of the comb.
trog-item-4,trog,Choose the picture of the apple.
trog-item-5,trog,Choose the picture that shows eating.
trog-item-6,trog,Choose the picture that shows picking.
trog-item-7,trog,Choose the picture that shows sitting.
trog-item-8,trog,Choose the picture that shows running.
trog-item-9,trog,Choose the picture that shows long.
trog-item-10,trog,Choose the picture that shows tall.
trog-item-11,trog,Choose the picture that shows red.
trog-item-12,trog,Choose the picture that shows black.
trog-item-13,trog,the boy is running
trog-item-14,trog,the big cup
trog-item-15,trog,the dog is sitting
trog-item-16,trog,the red ball
trog-item-17,trog,the boy is not running
trog-item-18,trog,the dog is not drinking
trog-item-19,trog,the girl is not jumping
trog-item-20,trog,the dog is not sitting
trog-item-21,trog,the boy is jumping over the box
trog-item-22,trog,the girl is sitting on the table
trog-item-23,trog,the man is eating the apple
trog-item-24,trog,the lady is carrying the bag
trog-item-25,trog,they are sitting on the table
trog-item-26,trog,the cow is looking at them
trog-item-27,trog,they are jumping over the wall
trog-item-28,trog,the elephant is carrying them
trog-item-29,trog,the girl is pushing the horse
trog-item-30,trog,the boy is chasing the sheep
trog-item-31,trog,the man is chasing the dog
trog-item-32,trog,the cow is pushing the lady
trog-item-33,trog,she is sitting on the chair
trog-item-34,trog,the lady is carrying him
trog-item-35,trog,he is sitting in the tree
trog-item-36,trog,the horse is looking at her
trog-item-37,trog,the cats look at the ball
trog-item-38,trog,the boy stands on the chairs
trog-item-39,trog,the boys pick the apples
trog-item-40,trog,the girl drops the cups
trog-item-41,trog,the fork is longer than the pencil
trog-item-42,trog,the box is bigger than the cup
trog-item-43,trog,the shoe is bigger than the bird
trog-item-44,trog,the horse is taller than the wall
trog-item-45,trog,the girl is chased by the horse
trog-item-46,trog,the elephant is pushed by the boy
trog-item-47,trog,the horse is chased by the man
trog-item-48,trog,the cow is pushed by the man
trog-item-49,trog,the cup is in the box
trog-item-50,trog,the pencil is on the box
trog-item-51,trog,the circle is in the star
trog-item-52,trog,the fork is on the shoe
trog-item-53,trog,the boy chasing the horse is tall
trog-item-54,trog,the pencil on the shoe is blue
trog-item-55,trog,the cow chasing the cat is brown
trog-item-56,trog,the circle in the star is yellow
trog-item-57,trog,the box but not the chair is red
trog-item-58,trog,the cat is big but not black
trog-item-59,trog,the horse but not the boy is standing
trog-item-60,trog,the boy is sitting but not eating
trog-item-61,trog,the pencil is above the flower
trog-item-62,trog,the comb is below the spoon
trog-item-63,trog,the star is above the circle
trog-item-64,trog,the square is below the star
trog-item-65,trog,not only the bird but also the flower is blue
trog-item-66,trog,the box is not only big but also blue
trog-item-67,trog,not only the girl but also the cat is sitting
trog-item-68,trog,the girl has not only food but also a drink
trog-item-69,trog,the pencil is on the book that is yellow
trog-item-70,trog,the girl chases the dog that is big
trog-item-71,trog,the square is in the star that is blue
trog-item-72,trog,the dog chases the horse that is brown
trog-item-73,trog,neither the dog nor the ball is brown
trog-item-74,trog,the pencil is neither long nor red
trog-item-75,trog,neither the boy nor the horse is running
trog-item-76,trog,the boy has neither hat nor shoes
trog-item-77,trog,the book the pencil is on is red
trog-item-78,trog,the cat the cow chases is black
trog-item-79,trog,the circle the star is in is red
trog-item-80,trog,the boy the dog chases is big
trog-item-81,trog,the horse drank water by the barn and the sheep ate grass by the fence
trog-item-82,trog,the student opened the notebook and drew a tree
trog-item-83,trog,we will have a picnic in the park if it is sunny
trog-item-84,trog,he found his keys under the couch with the pillows
trog-item-85,trog,she is the gardener who wears the hat that has a flower
trog-item-86,trog,She tripped on a rock and dropped her books.
trog-item-87,trog,The teacher will give the students cake if they stand in a line.
trog-item-88,trog,We will dance together if there is music playing.
trog-item-89,trog,"Although it is hot outside, I am wearing a jacket with a hood."
trog-item-90,trog,"He likes swimming. However, he chose to play soccer with his friends."
trog-item-91,trog,"Despite the noise in the classroom, she focused on reading her notebook."
trog-item-92,trog,He wore the clown's hat despite its large size.
trog-item-93,trog,The duck following the turtle is walking across the bridge.
trog-item-94,trog,Bumping the table with my foot caused a book to fall.
trog-item-95,trog,The person chases the dog that is big.
trog-item-96,trog,The girl wearing a backpack was shown a flower by her friend.
trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train."
trog-item-98,trog,The monkey neither ate the banana nor swung on the vine.
trog-item-99,trog,"Her mom said it would be sunny. However, it rained heavily."
trog-item-100,trog,The plane that is gray is above the clouds.
trog-item-101,trog,The fish swim beneath a whale and a sea turtle.
trog-item-102,trog,The car that the truck followed is driving toward the tunnel.
trog-item-103,trog,Instead of doing homework she did a puzzle in her room.
yes,theory-of-mind,yes
no,theory-of-mind,no
happy,theory-of-mind,happy
sad,theory-of-mind,sad
angry,theory-of-mind,angry
scared,theory-of-mind,scared
calm,theory-of-mind,calm
proud,theory-of-mind,proud
disgusted,theory-of-mind,disgusted
surprised,theory-of-mind,surprised
ToM-intro,theory-of-mind,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories."
ToM-transition,theory-of-mind,Nice work! Here is a new story.
ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. "
ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. "
ToM-scene1-instruct3,theory-of-mind,So now it’s reading time and Madison wants her book.
ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book?
chair,theory-of-mind,Behind the chair
rug,theory-of-mind,Under the rug
ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really?
ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! "
ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? "
ToM-scene2-instruct3,theory-of-mind,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing."
ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book?"
shelf,theory-of-mind,On the shelf
coats,theory-of-mind,Under the coats
ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!"
ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Hannah feels about Ethan reaching for that book? 
ToM-scene2-q7-emotion_reasoning,theory-of-mind,How do you think Hannah would feel if she had not seen Ethan reaching for the book?
ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Hannah's book?
ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Hannah's book?
ToM-scene2-q5-reality_check,theory-of-mind,Can you help Hannah find her book? Is it on the shelf or under the coats?
ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or under the coats?
ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. "
ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. "
ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him."
ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain."
ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw?
fountain,theory-of-mind,A fountain
tree,theory-of-mind,A tree
ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? "
ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is?
behind-fountain,theory-of-mind,Behind the fountain
behind-tree,theory-of-mind,Behind the tree
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?"
ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. "
ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. "
ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?
ToM-scene4-q8-emotion_reasoning,theory-of-mind,How would Joshua feel if he found his truck?
ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. "
ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck."
ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?
ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? 
ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? 
ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua."
ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?
ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?
ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?
ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in."
ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. "
ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”"
ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?
ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?
small_cup,theory-of-mind,The small cup
medium_cup,theory-of-mind,The medium sized cup
large_cup,theory-of-mind,The big cup
ToM-scene5-q3-emotion_reasoning,theory-of-mind,How does Katie feel about not getting the cup she wanted?
ToM-scene5-q4-emotion_reasoning,theory-of-mind,How would Katie feel if she had received the cup she wanted?
ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away."
ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says."
ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?
ToM-scene6-instruct3,theory-of-mind,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks."
ToM-scene6-q2,theory-of-mind,Does Sam know that Maria bought some socks?
ToM-scene6-q3,theory-of-mind,What does Sam think they are selling at the shop?
shoes,theory-of-mind,Shoes
socks,theory-of-mind,Socks
shirts,theory-of-mind,Shirts
ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”"
ToM-scene6-q4,theory-of-mind,What does Maria tell Dad?
ToM-scene6-instruct5,theory-of-mind,Then Dad asks: “What does Sam think they are selling at the shop?”
ToM-scene6-q5,theory-of-mind,What does Maria tell Dad?
ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?
ToM-scene6-instruct6,theory-of-mind,Sam is very happy to get his new socks.
hostile-attribution-scene1-instruct1,hostile-attribution,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.
hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy."
hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?
hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:
hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes
hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy
hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud
hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball."
hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race."
hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?
hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:
hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground
hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him
hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee
hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. 
hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. "
hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor."
hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?
